chr_code,kendall_cor,kendall_p,DIR
Free Or Reduced Lunch,0.38073038073038074,1.4511476657406975e-8,Destructive
Low Birthweight,0.37606837606837606,2.1703055218692992e-8,Destructive
Physically Inactive,0.3722234828059643,3.424136246037709e-8,Destructive
Teen Birth Rate,0.3706293706293706,3.4505893054214966e-8,Destructive
Diabetes Prevalence,0.35955508176248596,1.0566220973501064e-7,Destructive
Socio-Economic,0.3578088578088578,1.0037128798511679e-7,Destructive
Fair Or Poor Health,0.3543123543123543,1.3347876910648306e-7,Destructive
Freq Physical Distress,0.34615384615384615,2.569496751039931e-7,Destructive
Adult Obesity,0.3452186959238135,2.985685382759962e-7,Destructive
Children In Poverty,0.3392415934694345,4.716298526351848e-7,Destructive
80th Percentile Income,-0.3706293706293706,3.4505893054214966e-8,Protective
Median Household Income,-0.3861693861693862,9.019740748561503e-9,Protective
20th Percentile Income,-0.39261777747142995,5.107101174854531e-9,Protective
Excessive Drinking,-0.41181041181041184,8.794901085856537e-10,Protective
Some College,-0.44094794094794093,5.252719214991364e-11,Protective
