chr_code,kendall_cor,kendall_p,DIR
Diabetes Prevalence,0.38466056565669726,2.296298668832301e-6,Destructive
Physically Inactive,0.38442490703849364,2.020467179639283e-6,Destructive
Pct Unemployed,0.3748043818466354,3.2073408129930432e-6,Destructive
Socio-Economic,0.36306729264475746,6.4450570023523284e-06,Destructive
Children In Poverty,0.31974960907150757,7.2736410607537e-5,Destructive
Older Than 65,0.2856025039123631,3.871226266605759e-4,Destructive
Free Or Reduced Lunch,0.2730829420970266,6.909367441577381e-4,Destructive
Disconnected Youth,0.2706131078224101,0.009618491523069917,Destructive
Physically Unhealthy Days,0.2683881064162754,8.535601123526071e-4,Destructive
Teen Birth Rate,0.263768115942029,0.0012406226487592924,Destructive
Asian,-0.28012519561815336,5.001932139436e-4,Protective
20th Percentile Income,-0.30672926447574334,1.3828390693183899e-4,Protective
Median Household Income,-0.31690140845070425,8.229716105262614e-5,Protective
80th Percentile Income,-0.3302034428794992,4.080167864609635e-5,Protective
Excessive Drinking,-0.3677621283255086,4.887206424002662e-6,Protective
