State,pct_Adults_with_Obesity
United States,31.3
Alabama,36.2
Alaska,29.5
Arizona,29.5
Arkansas,37.1
California,25.8
Colorado,23
Connecticut,27.4
Delaware,33.5
District of Columbia,24.7
Florida,30.7
Georgia,32.5
Hawaii,24.9
Idaho,28.4
Illinois,31.8
Indiana,34.1
Iowa,35.3
Kansas,34.4
Kentucky,36.6
Louisiana,36.8
Maine,30.4
Maryland,30.9
Massachusetts,25.7
Michigan,33
Minnesota,30.1
Mississippi,39.5
Missouri,35
Montana,26.9
Nebraska,34.1
Nevada,29.5
New Hampshire,29.6
New Jersey,25.7
New Mexico,32.3
New York,27.6
North Carolina,33
North Dakota,35.1
Ohio,34
Oklahoma,34.8
Oregon,29.9
Pennsylvania,30.9
Rhode Island,27.7
South Carolina,34.3
South Dakota,30.1
Tennessee,34.4
Texas,34.8
Utah,27.8
Vermont,27.5
Virginia,30.4
Washington,28.7
West Virginia,39.5
Wisconsin,32
Wyoming,29
