NAME, cardio_deaths_p_100000
United States, 219.4
Alabama, 291.9
Alaska, 187.5
Arizona, 191.2
Arkansas, 286.6
California, 199.7
Colorado, 171.2
Connecticut, 183.3
Delaware, 217.8
District of Columbia, 247.8
Florida, 200.1
Georgia, 237.7
Hawaii, 180.2
Idaho, 212.9
Illinois, 219.0
Indiana, 242.4
Iowa, 217.5
Kansas, 219.9
Kentucky, 252.1
Louisiana, 275.4
Maine, 194.7
Maryland, 221.9
Massachusetts, 174.8
Michigan, 252.5
Minnesota, 167.1
Mississippi, 306.1
Missouri, 249.7
Montana, 206.4
Nebraska, 200.2
Nevada, 255.7
New Hampshire, 192.7
New Jersey, 206.6
New Mexico, 199.5
New York, 213.3
North Carolina, 215.0
North Dakota, 194.4
Ohio, 247.2
Oklahoma, 297.9
Oregon, 192.7
Pennsylvania, 225.9
Rhode Island, 199.7
South Carolina, 233.9
South Dakota, 204.3
Tennessee, 265.5
Texas, 225.6
Utah, 199.2
Vermont, 197.6
Virginia, 206.5
Washington, 191.9
West Virginia, 258.1
Wisconsin, 206.4
Wyoming, 190.7
